taxa,k_out,n_trees,size1,size2,prod,mut_size,visited_triplets,skipped_due_to_visited,pcsp_generated,childs_child_clades
ABCDEFGHIJ,1,1,8,8,64,13,11,0,13,10
ABCDEFGHIJ,2,1,7,7,49,21,17,0,24,16
ABCDEFGHIJ,3,1,6,6,36,187,101,82,223,182
ABCDEFGHIJ,4,1,5,5,25,265,153,86,318,238
ABCDEFGHIJ,1,4,31,31,961,57,46,5,57,50
ABCDEFGHIJ,2,4,26,24,624,98,78,17,141,94
ABCDEFGHIJ,3,4,20,17,340,222,135,72,265,206
ABCDEFGHIJ,4,4,14,13,182,961,459,831,1277,1289
ABCDEFGHIJ,1,9,53,53,2809,81,66,8,85,73
ABCDEFGHIJ,2,9,54,53,2862,173,143,42,235,184
ABCDEFGHIJ,3,9,41,32,1312,374,257,235,531,491
ABCDEFGHIJ,4,9,26,24,624,1476,771,1811,2321,2581
ABCDEFGHIJ,1,16,99,99,9801,164,135,25,178,159
ABCDEFGHIJ,2,16,61,66,4026,221,175,88,317,262
ABCDEFGHIJ,3,16,64,53,3392,744,536,594,1152,1129
ABCDEFGHIJ,4,16,44,29,1276,2074,1086,2514,3223,3599
ABCDEFGHIJ,1,25,124,124,15376,202,165,43,222,207
ABCDEFGHIJ,2,25,99,98,9702,303,244,128,437,371
ABCDEFGHIJ,3,25,64,65,4160,931,652,937,1564,1588
ABCDEFGHIJ,4,25,60,27,1620,2735,1387,3623,4347,5009
ABCDEFGHIJ,1,36,149,149,22201,303,244,88,343,331
ABCDEFGHIJ,2,36,127,105,13335,407,348,219,631,566
ABCDEFGHIJ,3,36,86,67,5762,951,703,939,1608,1641
ABCDEFGHIJ,4,36,63,38,2394,3038,1559,4045,4842,5603
ABCDEFGHIJ,1,49,181,181,32761,296,239,99,336,337
ABCDEFGHIJ,2,49,135,110,14850,415,343,249,645,591
ABCDEFGHIJ,3,49,106,63,6678,1044,751,1104,1774,1854
ABCDEFGHIJ,4,49,64,38,2432,3025,1552,4003,4803,5554
ABCDEFGHIJ,1,64,221,221,48841,433,348,147,489,494
ABCDEFGHIJ,2,64,163,125,20375,552,452,318,805,769
ABCDEFGHIJ,3,64,118,80,9440,1356,960,1468,2262,2427
ABCDEFGHIJ,4,64,70,40,2800,3299,1713,4399,5276,6111
ABCDEFGHIJK,1,1,9,9,81,16,14,0,16,13
ABCDEFGHIJK,2,1,8,8,64,10,10,0,12,9
ABCDEFGHIJK,3,1,7,7,49,10,10,2,14,11
ABCDEFGHIJK,4,1,6,6,36,280,144,147,333,290
ABCDEFGHIJK,1,4,35,35,1225,54,45,4,56,48
ABCDEFGHIJK,2,4,28,31,868,96,78,15,137,92
ABCDEFGHIJK,3,4,28,25,700,254,163,134,342,296
ABCDEFGHIJK,4,4,20,17,340,552,304,446,780,749
ABCDEFGHIJK,1,9,66,66,4356,120,102,19,132,120
ABCDEFGHIJK,2,9,63,62,3906,160,130,41,212,170
ABCDEFGHIJK,3,9,45,50,2250,464,312,276,630,587
ABCDEFGHIJK,4,9,42,42,1764,1595,925,1463,2339,2387
ABCDEFGHIJK,1,16,99,99,9801,151,128,31,167,158
ABCDEFGHIJK,2,16,98,97,9506,285,243,115,422,357
ABCDEFGHIJK,3,16,84,65,5460,736,555,701,1234,1255
ABCDEFGHIJK,4,16,61,49,2989,2504,1365,3199,4067,4563
ABCDEFGHIJK,1,25,140,140,19600,234,191,62,254,252
ABCDEFGHIJK,2,25,128,124,15872,347,309,168,531,476
ABCDEFGHIJK,3,25,91,76,6916,756,512,698,1166,1209
ABCDEFGHIJK,4,25,65,53,3445,2167,1276,2751,3577,4026
ABCDEFGHIJK,1,36,178,178,31684,239,197,57,263,253
ABCDEFGHIJK,2,36,136,133,18088,421,357,206,618,562
ABCDEFGHIJK,3,36,128,94,12032,1123,845,1193,1945,2037
ABCDEFGHIJK,4,36,77,61,4697,2850,1579,3911,4668,5489
ABCDEFGHIJK,1,49,223,223,49729,388,316,127,432,442
ABCDEFGHIJK,2,49,169,141,23829,540,460,303,839,762
ABCDEFGHIJK,3,49,145,110,15950,1199,895,1258,1989,2152
ABCDEFGHIJK,4,49,113,69,7797,3682,2178,5342,6418,7519
ABCDEFGHIJK,1,64,273,273,74529,471,384,172,531,555
ABCDEFGHIJK,2,64,188,183,34404,533,453,297,799,749
ABCDEFGHIJK,3,64,163,121,19723,1415,1034,1518,2345,2551
ABCDEFGHIJK,4,64,120,78,9360,3993,2358,6399,7236,8756
ABCDEFGHIJKL,1,1,10,10,100,17,15,2,17,16
ABCDEFGHIJKL,2,1,9,9,81,11,11,0,13,10
ABCDEFGHIJKL,3,1,8,8,64,27,21,5,34,25
ABCDEFGHIJKL,4,1,7,7,49,11,11,4,17,14
ABCDEFGHIJKL,5,1,6,6,36,409,217,213,487,429
ABCDEFGHIJKL,1,4,39,39,1521,58,49,4,60,52
ABCDEFGHIJKL,2,4,35,35,1225,119,88,13,144,100
ABCDEFGHIJKL,3,4,28,29,812,240,154,131,325,284
ABCDEFGHIJKL,4,4,25,21,525,592,303,363,706,665
ABCDEFGHIJKL,5,4,18,18,324,902,433,629,1063,1061
ABCDEFGHIJKL,1,9,77,77,5929,112,94,15,116,108
ABCDEFGHIJKL,2,9,77,74,5698,200,180,54,310,233
ABCDEFGHIJKL,3,9,57,53,3021,518,358,423,806,780
ABCDEFGHIJKL,4,9,40,38,1520,1695,907,2008,2621,2914
ABCDEFGHIJKL,5,9,32,23,736,3044,1474,3398,4323,4871
ABCDEFGHIJKL,1,16,110,110,12100,167,142,37,177,178
ABCDEFGHIJKL,2,16,116,99,11484,282,255,112,449,366
ABCDEFGHIJKL,3,16,90,74,6660,536,399,414,847,812
ABCDEFGHIJKL,4,16,76,72,5472,2165,1296,2494,3472,3789
ABCDEFGHIJKL,5,16,51,47,2397,5488,2659,7837,8550,10495
ABCDEFGHIJKL,1,25,176,176,30976,253,217,61,279,277
ABCDEFGHIJKL,2,25,160,142,22720,368,323,147,546,469
ABCDEFGHIJKL,3,25,123,110,13530,911,706,952,1573,1657
ABCDEFGHIJKL,4,25,97,75,7275,2798,1618,3914,4745,5531
ABCDEFGHIJKL,5,25,72,54,3888,7579,3553,11600,12173,15152
ABCDEFGHIJKL,1,36,230,230,52900,315,263,91,341,353
ABCDEFGHIJKL,2,36,180,168,30240,412,351,195,605,545
ABCDEFGHIJKL,3,36,153,138,21114,1153,884,1276,2002,2159
ABCDEFGHIJKL,4,36,114,101,11514,3188,1922,4322,5291,6243
ABCDEFGHIJKL,5,36,80,63,5040,8271,3846,13761,13687,17606
ABCDEFGHIJKL,1,49,272,272,73984,420,351,128,468,478
ABCDEFGHIJKL,2,49,212,195,41340,526,449,293,787,741
ABCDEFGHIJKL,3,49,201,172,34572,1331,1047,1388,2232,2434
ABCDEFGHIJKL,4,49,145,92,13340,3317,2164,5248,6239,7411
ABCDEFGHIJKL,5,49,101,59,5959,8653,4210,14527,14691,18736
ABCDEFGHIJKL,1,64,321,321,103041,539,443,191,599,633
ABCDEFGHIJKL,2,64,263,229,60227,708,610,447,1073,1056
ABCDEFGHIJKL,3,64,216,177,38232,1651,1288,1890,2891,3177
ABCDEFGHIJKL,4,64,157,124,19468,4344,2743,7220,8169,9962
ABCDEFGHIJKL,5,64,110,68,7480,9456,4447,16712,16291,21158
ABCDEFGHIJKLM,1,1,11,11,121,18,16,2,18,17
ABCDEFGHIJKLM,2,1,10,10,100,54,38,0,64,37
ABCDEFGHIJKLM,3,1,9,9,81,30,24,7,37,30
ABCDEFGHIJKLM,4,1,8,8,64,422,206,292,500,497
ABCDEFGHIJKLM,5,1,7,7,49,374,188,220,445,407
ABCDEFGHIJKLM,1,4,42,42,1764,86,77,6,90,82
ABCDEFGHIJKLM,2,4,38,36,1368,102,86,17,144,102
ABCDEFGHIJKLM,3,4,34,31,1054,337,226,209,481,434
ABCDEFGHIJKLM,4,4,31,29,899,446,296,189,614,484
ABCDEFGHIJKLM,5,4,22,24,528,2048,893,2161,2678,3053
ABCDEFGHIJKLM,1,9,74,74,5476,109,90,21,113,110
ABCDEFGHIJKLM,2,9,75,76,5700,157,131,40,208,170
ABCDEFGHIJKLM,3,9,73,71,5183,458,314,249,627,562
ABCDEFGHIJKLM,4,9,56,49,2744,1253,752,1021,1791,1772
ABCDEFGHIJKLM,5,9,44,38,1672,3352,1649,3814,4763,5462
ABCDEFGHIJKLM,1,16,129,129,16641,154,132,31,162,162
ABCDEFGHIJKLM,2,16,111,113,12543,264,220,108,356,327
ABCDEFGHIJKLM,3,16,113,102,11526,774,579,691,1268,1269
ABCDEFGHIJKLM,4,16,96,66,6336,1940,1164,2236,3165,3399
ABCDEFGHIJKLM,5,16,68,64,4352,4584,2225,5591,6709,7815
ABCDEFGHIJKLM,1,25,183,183,33489,249,214,64,275,277
ABCDEFGHIJKLM,2,25,175,159,27825,421,383,181,652,563
ABCDEFGHIJKLM,3,25,145,132,19140,884,650,710,1361,1359
ABCDEFGHIJKLM,4,25,111,113,12543,2185,1421,2442,3623,3862
ABCDEFGHIJKLM,5,25,111,77,8547,7273,3748,11689,12399,15436
ABCDEFGHIJKLM,1,36,251,251,63001,352,297,99,374,395
ABCDEFGHIJKLM,2,36,205,188,38540,518,450,258,789,707
ABCDEFGHIJKLM,3,36,197,169,33293,1159,891,1075,1884,1965
ABCDEFGHIJKLM,4,36,149,120,17880,3191,1999,4662,5700,6660
ABCDEFGHIJKLM,5,36,111,87,9657,7710,3793,12121,12717,15913
ABCDEFGHIJKLM,1,49,328,328,107584,500,424,153,556,576
ABCDEFGHIJKLM,2,49,272,257,69904,622,546,344,904,889
ABCDEFGHIJKLM,3,49,212,191,40492,1253,1001,1270,2077,2270
ABCDEFGHIJKLM,4,49,186,127,23622,3654,2329,6318,7024,8646
ABCDEFGHIJKLM,5,49,120,104,12480,9761,4812,18476,17580,23287
ABCDEFGHIJKLM,1,64,363,363,131769,488,404,169,526,572
ABCDEFGHIJKLM,2,64,299,277,82823,654,564,361,917,924
ABCDEFGHIJKLM,3,64,247,217,53599,1587,1211,1753,2693,2963
ABCDEFGHIJKLM,4,64,219,168,36792,4202,2793,7233,8166,10025
ABCDEFGHIJKLM,5,64,151,101,15251,9923,5277,19702,19065,24978
